MO;MO;Site_Name;LAC;BCCH ;TCH_Available_For_Voice;FPDCH;Net_TRXs_Available;LAT;LONG
C00591;591;5 FEVRIER-1;200;64;61;2;8;-4,25644060;15,29575060
C00592;592;5 FEVRIER-2;200;72;45;2;6;-4,25644060;15,29575060
C00593;593;5 FEVRIER-3;200;70;61;2;8;-4,25644060;15,29575060
45051;45051;ABALA;117;65;8;1;1;-1,32611100;15,55166100
45052;45052;ABALA;117;69;32;1;4;-1,32611100;15,55166100
C00421;421;ABATTOIR-1;300;75;58;2;8;-4,28431220;15,23358250
C00422;422;ABATTOIR-2;300;70;60;2;8;-4,28431220;15,23358250
C00423;423;ABATTOIR-3;300;68;57;2;8;-4,28431220;15,23358250
C00441;441;ABILA STREET-1;100;77;58;2;8;-4,22205020;15,28216550
C00442;442;ABILA STREET-2;100;66;61;2;8;-4,22205020;15,28216550
C00443;443;ABILA STREET-3;100;64;58;2;8;-4,22205020;15,28216550
C00221;221;AEROPORT-1;200;63;59;4;8;-4,26282740;15,25472550
C00222;222;AEROPORT-2;200;70;60;3;8;-4,26282740;15,25472550
C00223;223;AEROPORT-3;200;66;60;2;8;-4,26282740;15,25472550
10251;10251;AEROPORTFERME1;901;73;32;2;4;-4,82002778;11,88027778
10252;10252;AEROPORTFERME2;901;71;24;1;3;-4,82002778;11,88027778
10253;10253;AEROPORTFERME3;901;68;24;2;3;-4,82002778;11,88027778
10254;10254;AEROPORTFERME4;901;605;32;2;4;-4,82002778;11,88027778
10255;10255;AEROPORTFERME5;901;602;24;2;3;-4,82002778;11,88027778
10256;10256;AEROPORTFERME6;901;595;32;2;4;-4,82002778;11,88027778
C00771;771;AGOSTINO NETO-1;100;64;44;2;6;-4,21717550;15,29214570
C00772;772;AGOSTINO NETO-2;100;68;60;2;8;-4,21717550;15,29214570
C00773;773;AGOSTINO NETO-3;100;66;59;2;8;-4,21717550;15,29214570
45141;45141;AKANA LAGUE;214;66;16;1;2;-2,45083300;14,52852800
45142;45142;AKANA LAGUE;214;62;16;1;2;-2,45083300;14,52852800
45143;45143;AKANA LAGUE;214;74;16;1;2;-2,45083300;14,52852800
45311;45311;ALION;214;67;16;1;2;-2,44800000;15,02188900
45312;45312;ALION;214;72;16;1;2;-2,44800000;15,02188900
45313;45313;ALION;214;77;16;1;2;-2,44800000;15,02188900
45221;45221;ALLEMBE;214;62;16;1;2;-1,17722200;15,37250000
45222;45222;ALLEMBE;214;67;16;1;2;-1,17722200;15,37250000
45223;45223;ALLEMBE;214;77;16;1;2;-1,17722200;15,37250000
10501;10501;ANDREJACQUES1;601;78;32;1;4;-4,74372222;11,89636111
10502;10502;ANDREJACQUES2;601;80;24;1;3;-4,74372222;11,89636111
10503;10503;ANDREJACQUES3;601;77;24;1;3;-4,74372222;11,89636111
10504;10504;ANDREJACQUES4;601;592;32;1;4;-4,74372222;11,89636111
10505;10505;ANDREJACQUES5;601;608;32;1;4;-4,74372222;11,89636111
10506;10506;ANDREJACQUES6;601;600;32;1;4;-4,74372222;11,89636111
C00791;791;ANGOLA LIBRE-1;250;63;60;2;8;-4,28988740;15,24004080
C00792;792;ANGOLA LIBRE-2;250;73;55;2;8;-4,28988740;15,24004080
C00793;793;ANGOLA LIBRE-3;250;71;60;2;8;-4,28988740;15,24004080
50181;50181;ASSOKO;118;72;8;1;1;-0,42755600;15,64736100
50182;50182;ASSOKO;118;69;8;1;1;-0,42755600;15,64736100
50183;50183;ASSOKO;118;65;8;1;1;-0,42755600;15,64736100
45242;45242;ATIKI;117;72;16;2;2;-1,15181000;15,81610000
45241;45241;ATIKI ;117;64;8;2;1;-1,15181000;15,81610000
45243;45243;ATIKI ;117;62;16;2;2;-1,15181000;15,81610000
30231;30231;AUBEVILLE;107;63;16;2;2;-4,26561100;13,54261100
30232;30232;AUBEVILLE;107;67;16;2;2;-4,26561100;13,54261100
30233;30233;AUBEVILLE;107;69;16;2;2;-4,26561100;13,54261100
10391;10391;AZUR1;401;66;16;1;2;-4,81080556;11,84797222
10392;10392;AZUR2;401;80;16;1;2;-4,81080556;11,84797222
10393;10393;AZUR3;401;68;16;1;2;-4,81080556;11,84797222
10394;10394;AZUR4;401;606;16;1;2;-4,81080556;11,84797222
10395;10395;AZUR5;401;600;16;1;2;-4,81080556;11,84797222
10396;10396;AZUR6;401;596;16;1;2;-4,81080556;11,84797222
10231;10231;BAKADILA1;601;62;32;1;4;-4,79069444;11,87136111
10232;10232;BAKADILA2;601;74;24;1;3;-4,79069444;11,87136111
10233;10233;BAKADILA3;601;64;32;1;4;-4,79069444;11,87136111
10234;10234;BAKADILA4;601;608;40;1;5;-4,79069444;11,87136111
10235;10235;BAKADILA5;601;606;32;1;4;-4,79069444;11,87136111
10236;10236;BAKADILA6;601;592;24;1;3;-4,79069444;11,87136111
40051;40051;BAMBAMA;108;62;8;1;1;-2,53450000;13,54312300
40052;40052;BAMBAMA;108;66;8;1;1;-2,53450000;13,54312300
40053;40053;BAMBAMA;108;64;8;1;1;-2,53450000;13,54312300
25141;25141;BANDA;612;64;8;1;1;-3,43193600;12,00841700
25142;25142;BANDA;612;72;16;1;2;-3,43193600;12,00841700
25143;25143;BANDA;612;67;16;1;2;-3,43193600;12,00841700
C00811;811;BARRAGE-1;300;65;61;2;8;-4,28750900;15,21728990
C00812;812;BARRAGE-2;300;73;61;2;8;-4,28750900;15,21728990
C00813;813;BARRAGE-3;300;67;29;2;4;-4,28750900;15,21728990
10291;10297;BASEINDUSTRIELA;601;75;32;1;4;-4,78486100;11,85356400
10292;10298;BASEINDUSTRIELB;601;67;24;1;3;-4,78486100;11,85356400
10293;10299;BASEINDUSTRIELC;601;64;16;1;2;-4,78486100;11,85356400
C00211;211;BEACH-1;200;74;60;2;8;-4,26992080;15,29455850
C00212;212;BEACH-2;200;76;60;2;8;-4,26992080;15,29455850
C00213;213;BEACH-3;200;68;61;2;8;-4,26992080;15,29455850
60021;60021;BETOU;306;67;24;1;3;3,06055000;18,51805000
60022;60022;BETOU;306;70;32;1;4;3,06055000;18,51805000
60023;60023;BETOU;306;73;16;1;2;3,06055000;18,51805000
C01281;1281;BIFOUITI-1;300;64;60;2;8;-4,29751210;15,22859900
C01282;1282;BIFOUITI-2;300;66;60;2;8;-4,29751210;15,22859900
C01283;1283;BIFOUITI-3;300;63;55;2;8;-4,29751210;15,22859900
20031;20031;BILALA;109;64;16;1;2;-4,51300000;12,22228000
20032;20032;BILALA;109;66;24;1;3;-4,51300000;12,22228000
C35061;35061;BISSINZA-1;400;75;27;1;4;-4,38594400;15,11511000
C35062;35062;BISSINZA-2;400;77;13;1;2;-4,38594400;15,11511000
10531;10531;BISSONGO1;401;73;32;2;4;-4,78175000;11,90819444
10532;10532;BISSONGO2;401;80;24;2;3;-4,78175000;11,90819444
10533;10533;BISSONGO3;401;69;24;2;3;-4,78175000;11,90819444
10534;10534;BISSONGO4;401;598;32;2;4;-4,78175000;11,90819444
10535;10535;BISSONGO5;401;596;32;2;4;-4,78175000;11,90819444
10536;10536;BISSONGO6;401;606;32;2;4;-4,78175000;11,90819444
20211;20211;BIVELA;601;63;8;1;1;-3,82863100;12,00485000
20212;20212;BIVELA;601;79;8;1;1;-3,82863100;12,00485000
20213;20213;BIVELA;601;76;24;1;3;-3,82863100;12,00485000
C00951;951;BLANCHE GOMEZ-1;250;69;61;2;8;-4,27697420;15,25724890
C00952;952;BLANCHE GOMEZ-2;250;76;45;2;6;-4,27697420;15,25724890
C00953;953;BLANCHE GOMEZ-3;250;65;44;2;6;-4,27697420;15,25724890
C00401;401;BOETA MBONGO-1;200;76;73;2;10;-4,23949986;15,27458670
C00402;402;BOETA MBONGO-2;200;71;59;2;8;-4,23949986;15,27458670
