Longitude;Latitude
15,15,59.4;4,15,0.79
15,15,59.4;4,15,0.79
15,15,59.4;4,15,0.79
15,15,59.4;4,15,0.79
15,15,59.4;4,15,0.79
15,15,59.4;4,15,0.79
15,17,35.9;4,12,46.4
15,17,35.9;4,12,46.4
15,17,35.9;4,12,46.4
15,17,35.9;4,12,46.4
15,17,35.9;4,12,46.4
15,17,35.9;4,12,46.4
15,15,41.04;4,15,23.76
15,15,41.04;4,15,23.76
15,15,41.04;4,15,23.76
15,15,41.04;4,15,23.76
15,15,41.04;4,15,23.76
15,15,41.04;4,15,23.76
15,32,53.3;1,19,59.1
15,32,53.3;1,19,59.1
15,32,53.3;1,19,59.1
15,16,15.5;4,15,37
15,16,15.5;4,15,37
15,16,15.5;4,15,37
15,16,15.5;4,15,37
15,16,15.5;4,15,37
15,16,15.5;4,15,37
11,52,47.89;4,48,50.33
11,52,47.89;4,48,50.33
11,52,47.89;4,48,50.33
11,53,2;4,49,12
11,53,2;4,49,12
11,53,2;4,49,12
11,53,2;4,49,12
11,53,2;4,49,12
11,53,2;4,49,12
15,22,21;1,10,38.7
15,22,21;1,10,38.7
15,50,0;3,13,59.6
15,50,0;3,13,59.6
15,50,0;3,13,59.6
16,2,36.9;3,10,36.2
16,2,36.9;3,10,36.2
16,2,36.9;3,10,36.2
15,8,16.08;1,15,18.11
15,8,16.08;1,15,18.11
15,8,16.08;1,15,18.11
11,50,48;4,48,26
11,50,48;4,48,26
11,50,48;4,48,26
11,50,48;4,48,26
11,50,48;4,48,26
11,50,48;4,48,26
15,14,58.42;4,17,33
15,14,58.42;4,17,33
15,14,58.42;4,17,33
15,14,58.42;4,17,33
15,14,58.42;4,17,33
15,14,58.42;4,17,33
13,32,39;2,32,21
13,32,39;2,32,21
13,32,39;2,32,21
11,58,58.92;3,34,16.97
11,58,58.92;3,34,16.97
11,58,58.92;3,34,16.97
12,46,18.6;2,20,54.7
12,46,18.6;2,20,54.7
12,46,18.6;2,20,54.7
13,35,7;2,40,27
13,35,7;2,40,27
13,35,7;2,40,27
15,14,56.63;4,15,55.24
15,14,56.63;4,15,55.24
15,14,56.63;4,15,55.24
15,15,28.55;4,15,48.46
15,15,28.55;4,15,48.46
15,15,28.55;4,15,48.46
15,15,28.55;4,15,48.46
15,15,28.55;4,15,48.46
15,15,28.55;4,15,48.46
15,17,40.99;4,16,12.15
15,17,40.99;4,16,12.15
15,17,40.99;4,16,12.15
15,17,40.99;4,16,12.15
15,17,40.99;4,16,12.15
15,17,40.99;4,16,12.15
15,13,42.8;4,17,50.8
15,13,42.8;4,17,50.8
15,13,42.8;4,17,50.8
12,11,59.5;4,31,12.15
12,11,59.5;4,31,12.15
12,11,59.5;4,31,12.15
11,54,31.6;4,47,3.6
11,54,31.6;4,47,3.6
11,54,31.6;4,47,3.6
11,54,31.6;4,47,3.6
11,54,31.6;4,47,3.6
11,54,31.6;4,47,3.6
16,4,28;2,12,8.8
16,4,28;2,12,8.8
16,4,28;2,12,8.8
14,37,50.3;4,47,11.6
14,37,50.3;4,47,11.6
14,37,50.3;4,47,11.6
13,37,10.1;4,26,59.4
13,37,10.1;4,26,59.4
13,37,10.1;4,26,59.4
16,18,45.8;1,1,33.6
16,18,45.8;1,1,33.6
16,18,45.8;1,1,33.6
17,36,47.52;"1,25,15.82""N"
17,36,47.52;"1,25,15.82""N"
17,36,47.52;"1,25,15.82""N"
13,45,34.6;4,13,19.3
13,45,34.6;4,13,19.3
13,45,34.6;4,13,19.3
15,16,29.98;4,14,31.01
15,16,29.98;4,14,31.01
15,16,29.98;4,14,31.01
15,16,49.3;1,3,44.8
15,16,49.3;1,3,44.8
15,16,49.3;1,3,44.8
11,52,6.3;4,48,49.9
11,52,6.3;4,48,49.9
11,52,6.3;4,48,49.9
11,52,6.3;4,48,49.9
11,52,6.3;4,48,49.9
11,52,6.3;4,48,49.9
13,56,49.2;"2,8,47.29""N"
13,56,49.2;"2,8,47.29""N"
13,56,49.2;"2,8,47.29""N"
15,13,8.18;4,8,20.65
15,13,8.18;4,8,20.65
15,13,8.18;4,8,20.65
15,15,57.88;4,17,23.31
15,15,57.88;4,17,23.31
15,15,57.88;4,17,23.31
15,15,57.88;4,17,23.31
15,15,57.88;4,17,23.31
15,15,57.88;4,17,23.31
15,15,17.5;4,12,1.37
15,15,17.5;4,12,1.37
15,15,17.5;4,12,1.37
15,15,17.5;4,12,1.37
15,15,17.5;4,12,1.37
15,15,17.5;4,12,1.37
11,54,20;4,48,48
11,54,20;4,48,48
11,54,20;4,48,48
11,54,20;4,48,48
11,54,20;4,48,48
11,54,20;4,48,48
15,14,18.02;4,16,50.92
15,14,18.02;4,16,50.92
15,14,18.02;4,16,50.92
15,14,18.02;4,16,50.92
15,14,18.02;4,16,50.92
15,14,18.02;4,16,50.92
15,14,27.8;4,17,59.39
15,14,27.8;4,17,59.39
15,14,27.8;4,17,59.39
15,14,27.8;4,17,59.39
15,14,27.8;4,17,59.39
15,14,27.8;4,17,59.39
15,16,6.42;4,15,53.68
15,16,6.42;4,15,53.68
15,16,6.42;4,15,53.68
15,16,6.42;4,15,53.68
15,16,6.42;4,15,53.68
15,16,6.42;4,15,53.68
15,14,18.1;4,13,27.6
15,14,18.1;4,13,27.6
15,14,18.1;4,13,27.6
15,17,4.39;4,16,27.6
15,17,4.39;4,16,27.6
15,17,4.39;4,16,27.6
15,17,4.39;4,16,27.6
15,17,4.39;4,16,27.6
15,17,4.39;4,16,27.6
12,39,41.4;4,19,42.1
15,16,39.08;4,16,41.86
15,16,39.08;4,16,41.86
15,16,39.08;4,16,41.86
11,55,30;4,52,31
11,55,30;4,52,31
11,55,30;4,52,31
11,55,30;4,52,31
11,55,30;4,52,31
11,55,30;4,52,31
15,14,39.01;4,16,23.05
15,14,39.01;4,16,23.05
15,14,39.01;4,16,23.05
15,14,39.01;4,16,23.05
15,14,39.01;4,16,23.05
15,14,39.01;4,16,23.05
15,14,19.43;4,16,22.69
15,14,19.43;4,16,22.69
15,14,19.43;4,16,22.69
15,14,19.43;4,16,22.69
15,14,19.43;4,16,22.69
15,14,19.43;4,16,22.69
11,50,30.7;4,37,59.8
11,50,30.7;4,37,59.8
11,50,30.7;4,37,59.8
12,1,25;2,42,36.2
12,1,25;2,42,36.2
12,1,25;2,42,36.2
14,45,18.5;2,32,28.3
14,45,18.5;2,32,28.3
14,45,18.5;2,32,28.3
11,56,31.42;4,54,31.64
11,56,31.42;4,54,31.64
11,56,31.42;4,54,31.64
15,20,26.92;4,9,10.01
15,20,26.92;4,9,10.01
15,20,26.92;4,9,10.01
15,13,21.6;4,18,33.3
15,13,21.6;4,18,33.3
15,13,21.6;4,18,33.3
15,13,21.6;4,18,33.3
15,13,21.6;4,18,33.3
15,13,21.6;4,18,33.3
12,41,49.53;4,11,10.02
12,41,49.53;4,11,10.02
12,41,49.53;4,11,10.02
12,41,49.53;4,11,10.02
12,41,49.53;4,11,10.02
12,40,15.76;4,12,3.59
12,40,15.76;4,12,3.59
12,40,15.76;4,12,3.59
12,40,15.76;4,12,3.59
12,40,15.76;4,12,3.59
12,40,15.76;4,12,3.59
12,41,30.48;4,12,56.99
12,41,30.48;4,12,56.99
12,41,30.48;4,12,56.99
12,41,30.48;4,12,56.99
12,41,30.48;4,12,56.99
12,41,30.48;4,12,56.99
12,39,37.08;4,10,19.81
12,39,37.08;4,10,19.81
12,39,37.08;4,10,19.81
12,39,37.08;4,10,19.81
12,39,37.08;4,10,19.81
12,39,37.08;4,10,19.81
18,3,0.72;"2,2,46.28""N"
18,3,0.72;"2,2,46.28""N"
18,3,0.72;"2,2,46.28""N"
15,16,46.9;"1,35,18.2""N"
15,16,46.9;"1,35,18.2""N"
15,47,39.2;"1,12,25.1""N"
15,47,39.2;"1,12,25.1""N"
15,47,39.2;"1,12,25.1""N"
12,13,28.3;4,25,5.8
