Longitude			long_decimal	Latitude			lat_decimal
15	15	59,4	15,2665	4	15	0,79	4,250219444
15	15	59,4	15,2665	4	15	0,79	4,250219444
15	15	59,4	15,2665	4	15	0,79	4,250219444
15	15	59,4	15,2665	4	15	0,79	4,250219444
15	15	59,4	15,2665	4	15	0,79	4,250219444
15	15	59,4	15,2665	4	15	0,79	4,250219444
15	17	35,9	15,29330556	4	12	46,4	4,212888889
15	17	35,9	15,29330556	4	12	46,4	4,212888889
15	17	35,9	15,29330556	4	12	46,4	4,212888889
15	17	35,9	15,29330556	4	12	46,4	4,212888889
15	17	35,9	15,29330556	4	12	46,4	4,212888889
15	17	35,9	15,29330556	4	12	46,4	4,212888889
15	15	41,04	15,2614	4	15	23,76	4,2566
15	15	41,04	15,2614	4	15	23,76	4,2566
15	15	41,04	15,2614	4	15	23,76	4,2566
15	15	41,04	15,2614	4	15	23,76	4,2566
15	15	41,04	15,2614	4	15	23,76	4,2566
15	15	41,04	15,2614	4	15	23,76	4,2566
15	32	53,3	15,54813889	1	19	59,1	1,333083333
15	32	53,3	15,54813889	1	19	59,1	1,333083333
15	32	53,3	15,54813889	1	19	59,1	1,333083333
15	16	15,5	15,27097222	4	15	37	4,260277778
15	16	15,5	15,27097222	4	15	37	4,260277778
15	16	15,5	15,27097222	4	15	37	4,260277778
15	16	15,5	15,27097222	4	15	37	4,260277778
15	16	15,5	15,27097222	4	15	37	4,260277778
15	16	15,5	15,27097222	4	15	37	4,260277778
11	52	47,89	11,87996944	4	48	50,33	4,813980556
11	52	47,89	11,87996944	4	48	50,33	4,813980556
11	52	47,89	11,87996944	4	48	50,33	4,813980556
11	53	2	11,88388889	4	49	12	4,82
11	53	2	11,88388889	4	49	12	4,82
11	53	2	11,88388889	4	49	12	4,82
11	53	2	11,88388889	4	49	12	4,82
11	53	2	11,88388889	4	49	12	4,82
11	53	2	11,88388889	4	49	12	4,82
15	22	21	15,3725	1	10	38,7	1,177416667
15	22	21	15,3725	1	10	38,7	1,177416667
15	50	0	15,83333333	3	13	59,6	3,233222222
15	50	0	15,83333333	3	13	59,6	3,233222222
15	50	0	15,83333333	3	13	59,6	3,233222222
16	2	36,9	16,04358333	3	10	36,2	3,176722222
16	2	36,9	16,04358333	3	10	36,2	3,176722222
16	2	36,9	16,04358333	3	10	36,2	3,176722222
15	8	16,08	15,1378	1	15	18,11	1,255030556
15	8	16,08	15,1378	1	15	18,11	1,255030556
15	8	16,08	15,1378	1	15	18,11	1,255030556
11	50	48	11,84666667	4	48	26	4,807222222
11	50	48	11,84666667	4	48	26	4,807222222
11	50	48	11,84666667	4	48	26	4,807222222
11	50	48	11,84666667	4	48	26	4,807222222
11	50	48	11,84666667	4	48	26	4,807222222
11	50	48	11,84666667	4	48	26	4,807222222
15	14	58,42	15,24956111	4	17	33	4,2925
15	14	58,42	15,24956111	4	17	33	4,2925
15	14	58,42	15,24956111	4	17	33	4,2925
15	14	58,42	15,24956111	4	17	33	4,2925
15	14	58,42	15,24956111	4	17	33	4,2925
15	14	58,42	15,24956111	4	17	33	4,2925
13	32	39	13,54416667	2	32	21	2,539166667
13	32	39	13,54416667	2	32	21	2,539166667
13	32	39	13,54416667	2	32	21	2,539166667
11	58	58,92	11,98303333	3	34	16,97	3,571380556
11	58	58,92	11,98303333	3	34	16,97	3,571380556
11	58	58,92	11,98303333	3	34	16,97	3,571380556
12	46	18,6	12,77183333	2	20	54,7	2,348527778
12	46	18,6	12,77183333	2	20	54,7	2,348527778
12	46	18,6	12,77183333	2	20	54,7	2,348527778
13	35	7	13,58527778	2	40	27	2,674166667
13	35	7	13,58527778	2	40	27	2,674166667
13	35	7	13,58527778	2	40	27	2,674166667
15	14	56,63	15,24906389	4	15	55,24	4,265344444
15	14	56,63	15,24906389	4	15	55,24	4,265344444
15	14	56,63	15,24906389	4	15	55,24	4,265344444
15	15	28,55	15,25793056	4	15	48,46	4,263461111
15	15	28,55	15,25793056	4	15	48,46	4,263461111
15	15	28,55	15,25793056	4	15	48,46	4,263461111
15	15	28,55	15,25793056	4	15	48,46	4,263461111
15	15	28,55	15,25793056	4	15	48,46	4,263461111
15	15	28,55	15,25793056	4	15	48,46	4,263461111
15	17	40,99	15,29471944	4	16	12,15	4,270041667
15	17	40,99	15,29471944	4	16	12,15	4,270041667
15	17	40,99	15,29471944	4	16	12,15	4,270041667
15	17	40,99	15,29471944	4	16	12,15	4,270041667
15	17	40,99	15,29471944	4	16	12,15	4,270041667
15	17	40,99	15,29471944	4	16	12,15	4,270041667
15	13	42,8	15,22855556	4	17	50,8	4,297444444
15	13	42,8	15,22855556	4	17	50,8	4,297444444
15	13	42,8	15,22855556	4	17	50,8	4,297444444
12	11	59,5	12,19986111	4	31	12,15	4,520041667
12	11	59,5	12,19986111	4	31	12,15	4,520041667
12	11	59,5	12,19986111	4	31	12,15	4,520041667
11	54	31,6	11,90877778	4	47	3,6	4,784333333
11	54	31,6	11,90877778	4	47	3,6	4,784333333
11	54	31,6	11,90877778	4	47	3,6	4,784333333
11	54	31,6	11,90877778	4	47	3,6	4,784333333
11	54	31,6	11,90877778	4	47	3,6	4,784333333
11	54	31,6	11,90877778	4	47	3,6	4,784333333
16	4	28	16,07444444	2	12	8,8	2,202444444
16	4	28	16,07444444	2	12	8,8	2,202444444
16	4	28	16,07444444	2	12	8,8	2,202444444
14	37	50,3	14,63063889	4	47	11,6	4,786555556
14	37	50,3	14,63063889	4	47	11,6	4,786555556
14	37	50,3	14,63063889	4	47	11,6	4,786555556
13	37	10,1	13,61947222	4	26	59,4	4,449833333
13	37	10,1	13,61947222	4	26	59,4	4,449833333
13	37	10,1	13,61947222	4	26	59,4	4,449833333
16	18	45,8	16,31272222	1	1	33,6	1,026
16	18	45,8	16,31272222	1	1	33,6	1,026
16	18	45,8	16,31272222	1	1	33,6	1,026
17	36	47,52	17,6132	1	25	15,82	1,421061111
17	36	47,52	17,6132	1	25	15,82	1,421061111
17	36	47,52	17,6132	1	25	15,82	1,421061111
13	45	34,6	13,75961111	4	13	19,3	4,222027778
13	45	34,6	13,75961111	4	13	19,3	4,222027778
13	45	34,6	13,75961111	4	13	19,3	4,222027778
15	16	29,98	15,27499444	4	14	31,01	4,241947222
15	16	29,98	15,27499444	4	14	31,01	4,241947222
15	16	29,98	15,27499444	4	14	31,01	4,241947222
15	16	49,3	15,28036111	1	3	44,8	1,062444444
15	16	49,3	15,28036111	1	3	44,8	1,062444444
15	16	49,3	15,28036111	1	3	44,8	1,062444444
11	52	6,3	11,86841667	4	48	49,9	4,813861111
11	52	6,3	11,86841667	4	48	49,9	4,813861111
11	52	6,3	11,86841667	4	48	49,9	4,813861111
11	52	6,3	11,86841667	4	48	49,9	4,813861111
11	52	6,3	11,86841667	4	48	49,9	4,813861111
11	52	6,3	11,86841667	4	48	49,9	4,813861111
13	56	49,2	13,947	2	8	47,29	2,146469444
13	56	49,2	13,947	2	8	47,29	2,146469444
13	56	49,2	13,947	2	8	47,29	2,146469444
15	13	8,18	15,21893889	4	8	20,65	4,139069444
15	13	8,18	15,21893889	4	8	20,65	4,139069444
15	13	8,18	15,21893889	4	8	20,65	4,139069444
15	15	57,88	15,26607778	4	17	23,31	4,289808333
15	15	57,88	15,26607778	4	17	23,31	4,289808333
15	15	57,88	15,26607778	4	17	23,31	4,289808333
15	15	57,88	15,26607778	4	17	23,31	4,289808333
15	15	57,88	15,26607778	4	17	23,31	4,289808333
15	15	57,88	15,26607778	4	17	23,31	4,289808333
15	15	17,5	15,25486111	4	12	1,37	4,200380556
15	15	17,5	15,25486111	4	12	1,37	4,200380556
15	15	17,5	15,25486111	4	12	1,37	4,200380556
15	15	17,5	15,25486111	4	12	1,37	4,200380556
15	15	17,5	15,25486111	4	12	1,37	4,200380556
15	15	17,5	15,25486111	4	12	1,37	4,200380556
11	54	20	11,90555556	4	48	48	4,813333333
11	54	20	11,90555556	4	48	48	4,813333333
11	54	20	11,90555556	4	48	48	4,813333333
11	54	20	11,90555556	4	48	48	4,813333333
11	54	20	11,90555556	4	48	48	4,813333333
11	54	20	11,90555556	4	48	48	4,813333333
15	14	18,02	15,23833889	4	16	50,92	4,280811111
15	14	18,02	15,23833889	4	16	50,92	4,280811111
15	14	18,02	15,23833889	4	16	50,92	4,280811111
15	14	18,02	15,23833889	4	16	50,92	4,280811111
15	14	18,02	15,23833889	4	16	50,92	4,280811111
15	14	18,02	15,23833889	4	16	50,92	4,280811111
15	14	27,8	15,24105556	4	17	59,39	4,299830556
15	14	27,8	15,24105556	4	17	59,39	4,299830556
15	14	27,8	15,24105556	4	17	59,39	4,299830556
15	14	27,8	15,24105556	4	17	59,39	4,299830556
15	14	27,8	15,24105556	4	17	59,39	4,299830556
15	14	27,8	15,24105556	4	17	59,39	4,299830556
15	16	6,42	15,26845	4	15	53,68	4,264911111
15	16	6,42	15,26845	4	15	53,68	4,264911111
15	16	6,42	15,26845	4	15	53,68	4,264911111
15	16	6,42	15,26845	4	15	53,68	4,264911111
15	16	6,42	15,26845	4	15	53,68	4,264911111
15	16	6,42	15,26845	4	15	53,68	4,264911111
15	14	18,1	15,23836111	4	13	27,6	4,224333333
15	14	18,1	15,23836111	4	13	27,6	4,224333333
15	14	18,1	15,23836111	4	13	27,6	4,224333333
15	17	4,39	15,28455278	4	16	27,6	4,274333333
15	17	4,39	15,28455278	4	16	27,6	4,274333333
15	17	4,39	15,28455278	4	16	27,6	4,274333333
15	17	4,39	15,28455278	4	16	27,6	4,274333333
15	17	4,39	15,28455278	4	16	27,6	4,274333333
15	17	4,39	15,28455278	4	16	27,6	4,274333333
12	39	41,4	12,6615	4	19	42,1	4,328361111
15	16	39,08	15,27752222	4	16	41,86	4,278294444
15	16	39,08	15,27752222	4	16	41,86	4,278294444
15	16	39,08	15,27752222	4	16	41,86	4,278294444
11	55	30	11,925	4	52	31	4,875277778
11	55	30	11,925	4	52	31	4,875277778
11	55	30	11,925	4	52	31	4,875277778
11	55	30	11,925	4	52	31	4,875277778
11	55	30	11,925	4	52	31	4,875277778
11	55	30	11,925	4	52	31	4,875277778
15	14	39,01	15,24416944	4	16	23,05	4,273069444
15	14	39,01	15,24416944	4	16	23,05	4,273069444
15	14	39,01	15,24416944	4	16	23,05	4,273069444
15	14	39,01	15,24416944	4	16	23,05	4,273069444
15	14	39,01	15,24416944	4	16	23,05	4,273069444
15	14	39,01	15,24416944	4	16	23,05	4,273069444
15	14	19,43	15,23873056	4	16	22,69	4,272969444
15	14	19,43	15,23873056	4	16	22,69	4,272969444
15	14	19,43	15,23873056	4	16	22,69	4,272969444
15	14	19,43	15,23873056	4	16	22,69	4,272969444
15	14	19,43	15,23873056	4	16	22,69	4,272969444
15	14	19,43	15,23873056	4	16	22,69	4,272969444
11	50	30,7	11,84186111	4	37	59,8	4,633277778
11	50	30,7	11,84186111	4	37	59,8	4,633277778
11	50	30,7	11,84186111	4	37	59,8	4,633277778
12	1	25	12,02361111	2	42	36,2	2,710055556
12	1	25	12,02361111	2	42	36,2	2,710055556
12	1	25	12,02361111	2	42	36,2	2,710055556
14	45	18,5	14,75513889	2	32	28,3	2,541194444
14	45	18,5	14,75513889	2	32	28,3	2,541194444
14	45	18,5	14,75513889	2	32	28,3	2,541194444
11	56	31,42	11,94206111	4	54	31,64	4,908788889
11	56	31,42	11,94206111	4	54	31,64	4,908788889
11	56	31,42	11,94206111	4	54	31,64	4,908788889
15	20	26,92	15,34081111	4	9	10,01	4,152780556
15	20	26,92	15,34081111	4	9	10,01	4,152780556
15	20	26,92	15,34081111	4	9	10,01	4,152780556
15	13	21,6	15,22266667	4	18	33,3	4,30925
15	13	21,6	15,22266667	4	18	33,3	4,30925
15	13	21,6	15,22266667	4	18	33,3	4,30925
15	13	21,6	15,22266667	4	18	33,3	4,30925
15	13	21,6	15,22266667	4	18	33,3	4,30925
15	13	21,6	15,22266667	4	18	33,3	4,30925
12	41	49,53	12,69709167	4	11	10,02	4,186116667
12	41	49,53	12,69709167	4	11	10,02	4,186116667
12	41	49,53	12,69709167	4	11	10,02	4,186116667
12	41	49,53	12,69709167	4	11	10,02	4,186116667
12	41	49,53	12,69709167	4	11	10,02	4,186116667
12	40	15,76	12,67104444	4	12	3,59	4,200997222
12	40	15,76	12,67104444	4	12	3,59	4,200997222
12	40	15,76	12,67104444	4	12	3,59	4,200997222
12	40	15,76	12,67104444	4	12	3,59	4,200997222
12	40	15,76	12,67104444	4	12	3,59	4,200997222
12	40	15,76	12,67104444	4	12	3,59	4,200997222
